,Country,Total population as of 1/1/1939,Military deaths from all causes,Civilian deaths due to military activity and crimes against humanity,Total deaths,Deaths as percentage of1939 population,Average Deaths as percentage of1939 population,Military wounded
117,Federated States of Micronesia,"127,000",,10000,10000,7.874015748,7.87,
118,Faroe Islands,,,,,,,
119,French Polynesia,,,,,,,
120,Baker Island,,,,,,,
121,French Southern & Antarctic Lands,,,,,,,
122,"Gambia, The",,,,,,,
123,Gabon,,,,,,,
124,Georgia,"188,793,000",10700000,13684448,24384448,12.9159704,AY4,"14,685,593"
125,Ghana,,,,,,,
126,Gibraltar,,,,,,,
127,Grenada,,,,,,,
128,Guernsey,,,,,,,
129,Greenland,,,,,,,
130,Glorioso Islands,,,,,,,
131,Guadeloupe,,,,,,,
132,Guatemala,,,,,,,
133,Guinea,,,,,,,
134,Guyana,,,,,,,
135,Gaza Strip,,,,,,,
136,Haiti,,,,,,,
137,Heard Island & McDonald Islands,,,,,,,
138,Honduras,,,,,,,
139,Howland Island,,,,,,,
140,Croatia,,,,,,,
141,Indonesia,,,,,,,
142,"Man, Isle of",,,,,,,
143,British Indian Ocean Territory,,,,,,,
144,Israel,,,,,,,
145,Ivory Coast,,,,,,,
146,Jersey,,,,,,,
147,Jamaica,,,,,,,
148,Jan Mayen,,,,,,,
149,Jordan,,,,,,,
150,Johnston Atoll,,,,,,,
151,Juan De Nova Island,,,,,,,
152,Kenya,,,,,,,
153,Kyrgyzstan,,,,,,,
154,North Korea,"24,326,000",,533000,533000,2.191071282,2.09,
155,Kiribati,,,,,,,
156,South Korea,"24,326,000",,533000,533000,2.191071282,2.09,
157,Christmas Island,,,,,,,
158,Kuwait,,,,,,,
159,Kazakhstan,"188,793,000",10700000,13684448,24384448,12.9159704,AY4,"14,685,593"
160,Laos,"24,664,000",,2200000,2200000,8.919883231,6.08,
161,Lebanon,,,,,,,
162,Liberia,,,,,,,
163,Slovakia,"14,612,000",46000,320000,355000,2.429509992,2.38,"8,017"
164,Liechtenstein,,,,,,,
165,Lesotho,,,,,,,
166,Libya,,,,,,,
167,Madagascar,,,,,,,
168,Martinique,,,,,,,
169,Macau,,,,,,,
170,Moldova,,,,,,,
171,Mayotte,,,,,,,
172,Montserrat,,,,,,,
173,Malawi,,,,,,,
174,Macedonia,,,,,,,
175,Mali,,,,,,,
176,Monaco,,,,,,,
177,Morocco,,,,,,,
178,Mauritius,,,,,,,
179,Midway Islands,,,,,,,
180,Mauritania,,,,,,,
181,Oman,,,,,,,
182,Maldives,,,,,,,
183,Montenegro,,,,,,,
184,Malaysia,"5,118,000",,100000,100000,1.953888238,1.95,
185,Mozambique,,,,,,,
186,New Caledonia,,,,,,,
187,Niue,,,,,,,
188,Norfolk Island,,,,,,,
189,Niger,,,,,,,
190,Vanuatu,,,,,,,
191,Nigeria,,,,,,,
192,Suriname,,,,,,,
193,Nicaragua,,,,,,,
194,Paraguay,,,,,,,
195,Pitcairn Islands,,,,,,,
196,Peru,,,,,,,
197,Paracel Islands,,,,,,,
198,Spratly Islands,,,,,,,
199,Pakistan,,,,,,,
200,Panama,,,,,,,
201,Pacific Islands (Palau),"127,000",,10000,10000,7.874015748,7.87,
202,Guinea-Bissau,,,,,,,
203,Qatar,,,,,,,
204,Reunion,,,,,,,
205,Marshall Islands,"127,000",,10000,10000,7.874015748,7.87,
206,Puerto Rico,,,,,,,
207,Saudi Arabia,,,,,,,
208,St. Pierre and Miquelon,,,,,,,
209,St. Kitts and Nevis,,,,,,,
210,Seychelles,,,,,,,
211,Senegal,,,,,,,
212,St. Helena,,,,,,,
213,Slovenia,,,,,,,
214,Sierra Leone,,,,,,,
215,San Marino,,,,,,,
216,Singapore,"5,118,000",,100000,100000,1.953888238,1.95,
217,Somalia,,,,,,,
218,Serbia,,,,,,,
219,St. Lucia,,,,,,,
220,Sudan,,,,,,,
221,Svalbard,,,,,,,
222,South Georgia and the South Sandwich Is,,,,,,,
223,Syria,,,,,,,
224,United Arab Emirates,,,,,,,
225,Trinidad and Tobago,,,,,,,
226,Tajikistan,,,,,,,
227,Turks and Caicos Islands,,,,,,,
228,Tokelau,,,,,,,
229,Tonga,,,,,,,
230,Togo,,,,,,,
231,Sao Tome and Principe,,,,,,,
232,Tunisia,,,,,,,
233,Tuvalu,,,,,,,
234,Taiwan,,,,,,,
235,Turkmenistan,"188,793,000",10700000,13684448,24384448,12.9159704,AY4,
236,"Tanzania, United Republic of",,,,,,,"14,685,593"
237,Uganda,,,,,,,
238,Ukraine,"188,793,000",10700000,13684448,24384448,12.9159704,AY4,
239,Burkina Faso,,,,,,,"14,685,593"
240,Uruguay,,,,,,,
241,Uzbekistan,"188,793,000",10700000,13684448,24384448,12.9159704,AY4,
242,St. Vincent and the Grenadines,,,,,,,"14,685,593"
243,Venezuela,,,,,,,
244,British Virgin Islands,,,,,,,
245,Vietnam,"24,664,000",,2200000,2200000,8.919883231,6.08,
246,Virgin Islands,,,,,,,
247,Namibia,,,,,,,
248,West Bank,,,,,,,
249,Wallis and Futuna,,,,,,,
250,Western Sahara,,,,,,,
251,Wake Island,,,,,,,
252,Western Samoa,,,,,,,
253,Swaziland,,,,,,,
254,Yemen,,,,,,,
255,Zambia,,,,,,,
256,Zimbabwe,,,,,,,
